timestamp_1,timestamp_2,timestamp_3,TA_1_1_1,RH_1_1_1,PA_1_1_1,WD_1_1_1,P_1_1_1,SWin_1_1_1,SWout_1_1_1,LWin_1_1_1,LWout_1_1_1,SWdif_1_
yyyy-mm-dd,HH,MM,C,%,kPa,degrees,mm,W+1m-2,W+1m-2,W+1m-2,W+1m-2,W+1m-2
2024-12-04,10,20,4.59 ,93.64 ,102.58 ,168 ,0.00 ,51.04 ,6.33 ,325.41 ,339.41 ,51.15 
2024-12-04,10,30,4.72 ,93.18 ,102.58 ,180 ,0.00 ,67.48 ,10.98 ,326.12 ,340.60 ,67.43 
2024-12-04,10,40,4.83 ,92.03 ,102.58 ,203 ,0.00 ,70.53 ,12.11 ,326.45 ,340.99 ,70.18 
2024-12-04,10,50,5.06 ,91.31 ,102.57 ,211 ,0.00 ,107.62 ,21.90 ,326.70 ,343.63 ,107.51 
2024-12-04,11,00,5.38 ,90.64 ,102.58 ,223 ,0.00 ,109.28 ,21.95 ,326.12 ,345.77 ,108.68 
2024-12-04,11,10,5.47 ,89.65 ,102.58 ,224 ,0.00 ,75.12 ,12.70 ,325.38 ,344.20 ,73.96 
2024-12-04,11,20,5.49 ,90.04 ,102.59 ,222 ,0.00 ,63.12 ,8.94 ,324.65 ,342.30 ,62.29 
2024-12-04,11,30,5.48 ,89.96 ,102.58 ,210 ,0.00 ,61.33 ,8.34 ,323.14 ,342.09 ,60.73 
2024-12-04,11,40,5.48 ,89.57 ,102.57 ,208 ,0.00 ,59.67 ,8.30 ,321.84 ,341.49 ,58.86 
2024-12-04,11,50,5.47 ,89.57 ,102.58 ,210 ,0.00 ,46.68 ,4.84 ,321.89 ,340.77 ,45.92 
2024-12-04,12,00,5.46 ,90.17 ,102.58 ,208 ,0.00 ,63.78 ,9.29 ,322.34 ,342.08 ,63.42 
2024-12-04,12,10,5.49 ,89.74 ,102.58 ,197 ,0.00 ,80.53 ,13.99 ,323.25 ,343.89 ,80.01 
2024-12-04,12,20,-999.00 ,-999.00 ,-999.00 ,-999 ,-999.00 ,73.73 ,12.39 ,324.59 ,343.99 ,72.94 
2024-12-04,12,30,5.58 ,89.46 ,102.60 ,222 ,0.00 ,-999.00 ,-999.00 ,-999.00 ,-999.00 ,-999.00 
